8.28,8.28,,,,,,
0.54,0.54,,,,,,
14.82,14.82,,,,,,
17.6,17.6,,,,,,
44.05,44.05,,,,,,
0.68,0.68,,,,,,
0.33,0.33,,,,,,
6.08,6.08,,,,,,
1.25,1.25,,,,,,
12.31,12.31,,,,,,
11.11,11.11,,,,,,
36.46,36.46,,,,,,
0.84,0.84,,,,,,
2.35,2.35,,,,,,
5.56,5.56,,,,,,
3.76,3.76,,,,,,
16.48,16.48,,,,,,
2.43,2.43,,,,,,
1.65,1.65,,,,,,
23.82,23.82,,,,,,
1.71,1.71,,,,,,
0.09,0.09,,,,,,
0.07,0.07,,,,,,
0.44,0.44,,,,,,
2.38,2.38,,,,,,
21.19,,,,,,,
33.46,,,,,,,
7.26,,,,,,,
0.29,,,,,,,
6.38,,,,,,,
0.35,,,,,,,
40.76,,,,,,,
19.43,,,,,,,
10.95,,,,,,,
3.99,,,,,,,
3.94,,,,,,,
36.22,,,,,,,
19.32,,,,,,,
52.99,,,,,,,
3.52,,,,,,,
3.69,,,,,,,
2.56,,,,,,,
0.54,,,,,,,
0.41,,,,,,,
8.13,,,,,,,
0.33,,,,,,,
0,,,,,,,
8.88,,,,,,,
0.18,,,,,,,
8.55,,,,,,,
0.13,,,,,,,
6.19,,,,,,,
15.6,,,,,,,
12.86,,,,,,,
4.28,,,,,,,
10.8,,,,,,,
0.56,,,,,,,
1.75,,,,,,,
0.3,,,,,,,
0,,,,,,,
0.15,,,,,,,
0,,,,,,,
0.14,,,,,,,
0.11,,,,,,,
0.46,,,,,,,
0,,,,,,,
0,,,,,,,
11.31,,,,,,,
13.64,,,,,,,
0.21,,,,,,,
8.5,,,,,,,
0.31,,,,,,,
0,,,,,,,
6.7,,,,,,,
29.61,,,,,,,
2.86,,,,,,,
4,,,,,,,
33.72,,,,,,,
14.88,,,,,,,
13.25,,,,,,,
17.26,,,,,,,
7.95,,,,,,,
4.13,,,,,,,
16.03,,,,,,,
9.88,,,,,,,
12.18,,,,,,,
3.09,,,,,,,
0.89,,,,,,,
0,,,,,,,
0.19,,,,,,,
0.74,,,,,,,
2.45,,,,,,,
4.11,,,,,,,
0.11,,,,,,,
0.73,,,,,,,
8.2,,,,,,,
2.16,,,,,,,
0.73,,,,,,,
0.32,,,,,,,
0,,,,,,,
0.04,,,,,,,
0.08,,,,,,,
0.01,,,,,,,
0.08,,,,,,,
0,,,,,,,
0,,,,,,,
2.32,,,,,,,
1.48,,,,,,,
19.83,,,,,,,
0,,,,,,,
6.65,,,,,,,
34.73,,,,,,,
8.69,,,,,,,
8.36,,,,,,,
1.16,,,,,,,
6.84,,,,,,,
7.06,,,,,,,
2.63,,,,,,,
0.06,,,,,,,
0,,,,,,,
0.08,,,,,,,
0.01,,,,,,,
0,,,,,,,
0,,,,,,,
4.21,,,,,,,
0.08,,,,,,,
0.09,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0.04,,,,,,,
0,,,,,,,
0,,,,,,,
0.04,,,,,,,
0,,,,,,,
0.04,,,,,,,
0.02,,,,,,,
4.82,,,,,,,
5.33,,,,,,,
0.04,,,,,,,
2.82,,,,,,,
8.41,,,,,,,
0.83,,,,,,,
0.09,,,,,,,
1.68,,,,,,,
16.33,,,,,,,
5.33,,,,,,,
16.8,,,,,,,
17.94,,,,,,,
0.97,,,,,,,
3.82,,,,,,,
8.72,,,,,,,
0.07,,,,,,,
0.8,,,,,,,
1.18,,,,,,,
0.04,,,,,,,
14.37,,,,,,,
6.41,,,,,,,
1.48,,,,,,,
0,,,,,,,
12.02,,,,,,,
12.83,,,,,,,
2.11,,,,,,,
0,,,,,,,
1.24,,,,,,,
0.16,,,,,,,
0.22,,,,,,,
0.89,,,,,,,
0,,,,,,,
0,,,,,,,
0.81,,,,,,,
0.45,,,,,,,
6.27,,,,,,,
20.36,,,,,,,
1.16,,,,,,,
49.22,,,,,,,
3.45,,,,,,,
0,,,,,,,
0,,,,,,,
0.39,,,,,,,
0.03,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0.03,,,,,,,
2.42,,,,,,,
14.03,,,,,,,
0.59,,,,,,,
0.03,,,,,,,
0.03,,,,,,,
0.08,,,,,,,
1.7,,,,,,,
0.04,,,,,,,
0.03,,,,,,,
0.09,,,,,,,
8.12,,,,,,,
0.61,,,,,,,
0,,,,,,,
0,,,,,,,
0.25,,,,,,,
2.75,,,,,,,
2.59,,,,,,,
2.01,,,,,,,
0,,,,,,,
0.12,,,,,,,
1.97,,,,,,,
10.91,,,,,,,
0.12,,,,,,,
0.11,,,,,,,
10.92,,,,,,,
9.78,,,,,,,
8.81,,,,,,,
0.33,,,,,,,
0,,,,,,,
0.62,,,,,,,
6.49,,,,,,,
14.8,,,,,,,
3.94,,,,,,,
6.52,,,,,,,
0.16,,,,,,,
3.8,,,,,,,
0.32,,,,,,,
0.03,,,,,,,
1.76,,,,,,,
3.03,,,,,,,
0.54,,,,,,,
1.08,,,,,,,
28.66,,,,,,,
17.14,,,,,,,
17.65,,,,,,,
12.47,,,,,,,
1.7,,,,,,,
0.81,,,,,,,
0.09,,,,,,,
0,,,,,,,
0,,,,,,,
1.61,,,,,,,
2.58,,,,,,,
1.41,,,,,,,
0.87,,,,,,,
14.2,,,,,,,
0.1,,,,,,,
0.19,,,,,,,
0,,,,,,,
24.22,,,,,,,
2.75,,,,,,,
0,,,,,,,
6.3,,,,,,,
25.6,,,,,,,
0.98,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
5.06,,,,,,,
9.52,,,,,,,
6.8,,,,,,,
6.78,,,,,,,
27.7,,,,,,,
13.63,,,,,,,
8.79,,,,,,,
32.34,,,,,,,
0.78,,,,,,,
2.65,,,,,,,
0.63,,,,,,,
1.72,,,,,,,
7.19,,,,,,,
0.12,,,,,,,
0.03,,,,,,,
0.43,,,,,,,
0.54,,,,,,,
2.27,,,,,,,
0.08,,,,,,,
0.03,,,,,,,
0.03,,,,,,,
0.04,,,,,,,
0,,,,,,,
0.04,,,,,,,
12.67,,,,,,,
0.3,,,,,,,
22.32,,,,,,,
38.48,,,,,,,
0.19,,,,,,,
1.14,,,,,,,
14.34,,,,,,,
2.73,,,,,,,
0.16,,,,,,,
6.91,,,,,,,
8.42,,,,,,,
2.19,,,,,,,
5.59,,,,,,,
1,,,,,,,
0.15,,,,,,,
0.15,,,,,,,
0.08,,,,,,,
0,,,,,,,
0,,,,,,,
0.05,,,,,,,
